CMDLINE python main_subclass.py
MEM 1.019531 1732918840.0234
MEM 13.050781 1732918840.1381
MEM 16.089844 1732918840.2516
MEM 16.089844 1732918840.3636
MEM 16.089844 1732918840.4753
MEM 16.089844 1732918840.5870
MEM 16.089844 1732918840.6987
MEM 16.312500 1732918840.8100
MEM 16.312500 1732918840.9213
MEM 16.312500 1732918841.0342
MEM 16.312500 1732918841.1465
MEM 16.312500 1732918841.2612
MEM 16.312500 1732918841.3727
MEM 16.312500 1732918841.4840
MEM 16.312500 1732918841.5953
MEM 16.312500 1732918841.7073
MEM 16.312500 1732918841.8187
MEM 16.312500 1732918841.9299
MEM 16.312500 1732918842.0424
MEM 53.804688 1732918842.1559
MEM 95.929688 1732918842.2752
MEM 129.921875 1732918842.3898
MEM 202.871094 1732918842.5043
MEM 211.785156 1732918842.6183
MEM 221.707031 1732918842.7323
MEM 275.726562 1732918842.8466
MEM 293.875000 1732918842.9605
MEM 314.003906 1732918843.0742
MEM 358.660156 1732918843.1892
MEM 366.164062 1732918843.3031
MEM 428.335938 1732918843.4168
MEM 468.582031 1732918843.5315
MEM 483.523438 1732918843.6467
MEM 488.105469 1732918843.7626
MEM 491.683594 1732918843.8762
MEM 494.882812 1732918843.9923
MEM 496.722656 1732918844.1064
MEM 499.035156 1732918844.2246
MEM 502.671875 1732918844.3414
MEM 507.335938 1732918844.4597
MEM 512.109375 1732918844.5734
MEM 515.187500 1732918844.6870
MEM 518.808594 1732918844.8038
MEM 522.496094 1732918844.9194
MEM 525.578125 1732918845.0330
MEM 528.671875 1732918845.1467
MEM 503.753906 1732918845.2603
MEM 547.238281 1732918845.3743
MEM 595.753906 1732918845.4945
MEM 623.972656 1732918845.6093
MEM 635.851562 1732918845.7406
MEM 639.507812 1732918845.8697
MEM 648.132812 1732918845.9964
MEM 649.253906 1732918846.1106
MEM 649.507812 1732918846.2248
MEM 650.425781 1732918846.3390
MEM 652.082031 1732918846.4530
MEM 655.429688 1732918846.5671
MEM 695.535156 1732918846.6811
MEM 698.574219 1732918846.7954
MEM 701.500000 1732918846.9096
MEM 704.800781 1732918847.0238
MEM 706.742188 1732918847.1487
MEM 714.609375 1732918847.2687
MEM 719.300781 1732918847.3996
MEM 724.359375 1732918847.5151
MEM 724.359375 1732918847.6421
MEM 725.765625 1732918847.7566
MEM 726.023438 1732918847.8723
MEM 734.964844 1732918847.9868
MEM 735.765625 1732918848.1009
MEM 736.730469 1732918848.2210
MEM 747.332031 1732918848.3415
MEM 748.902344 1732918848.4659
MEM 748.902344 1732918848.5800
MEM 748.902344 1732918848.6983
MEM 748.902344 1732918848.8194
MEM 748.902344 1732918848.9343
MEM 748.902344 1732918849.0520
MEM 748.902344 1732918849.1669
MEM 748.902344 1732918849.2854
