target position,target object,distractor object position 1,distractor object 1,distractor object position 2,distractor object 2
1,F5 (cup),5,M3 (plate),3,D1 (potted plant)
1,A1 (book),3,G1 (phone),4,E4 (water bottle)
6,K1 (shoe),3,F4 (cup),1,C2 (clock)
5,H2 (computer mouse),1,E2 (water bottle),2,G1 (phone)
4,G4 (phone),2,K3 (shoe),7,K1 (shoe)
1,G4 (phone),3,A1 (book),6,M2 (plate)
6,A2 (book),1,K2 (shoe),2,F1 (cup)
7,M2 (plate),3,E4 (water bottle),5,H1 (computer mouse)
2,C2 (clock),4,K3 (shoe),7,E1 (water bottle)
3,D2 (potted plant),5,G3 (phone),7,A4 (book)
